Ashwagandha,For stress relief and vitality,$9.99,https://en.wikipedia.org/wiki/Ashwagandha
Triphala,For digestion and detoxification,$7.49,https://en.wikipedia.org/wiki/Triphala
Turmeric,For inflammation and immune support,$8.99,https://en.wikipedia.org/wiki/Turmeric
Brahmi,For memory enhancement and cognitive function,$11.99,https://en.wikipedia.org/wiki/Bacopa_monnieri
Neem,For skin health and detoxification,$6.99,https://en.wikipedia.org/wiki/Azadirachta_indica
Tulsi,For respiratory health and stress relief,$10.49,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
Guggul,For cholesterol management and weight loss,$9.49,https://en.wikipedia.org/wiki/Commiphora_mukul
Shatavari,For hormonal balance and reproductive health,$8.99,https://en.wikipedia.org/wiki/Asparagus_racemosus
Triphala Guggulu,For joint health and detoxification,$7.99,https://en.wikipedia.org/wiki/Triphala
Arjuna,For heart health and blood pressure management,$10.99,https://en.wikipedia.org/wiki/Terminalia_arjuna
Guduchi,For immune support and detoxification,$12.49,https://en.wikipedia.org/wiki/Tinospora_cordifolia
Amalaki,For digestion and antioxidant support,$9.99,https://en.wikipedia.org/wiki/Emblica_officinalis
Bhringraj,For hair growth and scalp health,$8.49,https://en.wikipedia.org/wiki/Eclipta_prostrata
Haritaki,For digestive health and detoxification,$11.99,https://en.wikipedia.org/wiki/Terminalia_chebula
Manjistha,For blood purification and skin health,$7.99,https://en.wikipedia.org/wiki/Rubia_cordifolia
Shankhpushpi,For cognitive function and stress relief,$9.49,https://en.wikipedia.org/wiki/Convolvulus_pluricaulis
Bilva,For digestive health and ulcers,$10.99,https://en.wikipedia.org/wiki/Aegle_marmelos
Shilajit,For energy and stamina,$12.99,https://en.wikipedia.org/wiki/Shilajit
